session_id,item_id,date
3,15085,2020-12-18 21:26:47.986
13,18626,2020-03-13 19:36:15.507
18,24911,2020-08-26 19:20:32.049
19,12534,2020-11-02 17:16:45.92
24,13226,2020-02-26 18:27:44.114
28,26394,2020-05-18 12:52:09.764
31,8345,2021-04-20 19:46:42.594
36,14532,2020-06-21 10:33:22.535
42,11784,2021-03-01 15:17:04.264
44,4028,2020-11-27 20:46:08.951
48,24022,2020-04-15 17:29:15.414
49,2011,2020-05-01 12:34:29.86
52,12556,2020-03-21 11:49:07.324
75,28057,2020-05-24 17:27:54.288
77,4243,2020-09-20 21:37:20.838
107,4016,2020-01-15 06:07:23.177
108,18532,2020-06-06 17:25:15.508
113,21107,2021-05-05 14:15:07.278
115,25976,2021-05-27 10:24:05.043
119,434,2020-10-11 06:32:22.085
124,3732,2020-05-18 11:04:15.42
127,25117,2020-01-15 15:17:43.659
140,23502,2021-04-28 13:45:31.202
151,15623,2020-03-04 13:04:39.716
153,20208,2021-01-16 19:40:36.012
154,27613,2020-04-24 07:26:08.643
156,7096,2020-11-27 12:49:17.506
170,20691,2020-03-08 12:57:23.604
171,14014,2020-12-18 01:12:30.945
181,3162,2020-04-03 19:27:09.209
182,17882,2020-01-29 20:45:59.526
184,419,2021-04-04 01:43:26.238
186,1368,2021-03-27 22:12:41.377
188,10852,2020-10-12 20:19:35.231
195,1631,2021-01-05 12:04:27.612
207,15501,2020-07-04 20:09:31.029
208,27584,2020-12-13 09:56:28.935
226,27768,2020-12-12 11:54:16.573
227,24836,2020-08-16 12:38:25.676
232,10657,2020-09-11 12:18:12.584
235,11065,2020-08-14 21:11:22.333
237,19908,2020-09-09 20:44:56.692
247,18742,2021-02-13 12:57:45.287
248,5066,2020-12-14 13:10:53.162
261,8840,2021-05-31 13:44:52.368
266,23852,2021-02-27 17:37:03.395
289,16660,2020-04-25 19:52:01.383
302,8060,2020-12-07 16:37:33.057
306,17376,2021-03-15 11:05:10.535
315,10126,2020-11-13 10:55:42.067
